member_id,first_name,last_name,contact_email,phone_number,member_type,registration_date
1,John,Doe,johndoe@gmail.com,+91 98765 43210,student,2023-01-01
2,John,Doe,johndoe@gmail.com,+91-98765-4321,student,2023-01-01
3,Jane,Smith,janesmith@gmail,+91 (91234) 56789,faculty,2023-02-15
4,Jane,Smith,janesmith@gmail.com,+91 (9123) 456-789,faculty,2023-02-15
5,Alice,Johnson,alice@domain.com,+91 99887-66554,student,2023-03-10
6,Bob,Brown,bobbrown@domain.com,+91-88776 55443,faculty,2023-04-12
7,Charlie,Davis,charlie@domain,+91 (77665 44332),student,2023-05-20
8,David,Evans,david@domain.com,+91 66554 4332,faculty,2023-06-25
9,Emma,Wilson,emmawilson@gmail.com,+91-95432-10987,student,2023-07-30
10,Frank,Thomas,frankthomas@gmail.com,+91 (84321)09876,faculty,2023-08-05
11,Grace,Lee,gracelee@gmail.com,+44 98765 43210,student,2023-09-09
12,Henry,Walker,henrywalker@gmail.com,+91-73210-987654,faculty,2023-10-10
13,Isla,Harris,islaharris@gmail.com,(+91) 82109 87654,student,2023-11-11
14,Jack,White,jackwhite@gmail.com,+91 71098-7654,student,invalid-date
15,Lily,Clark,lilyclark@gmail.com,+91-69988-77665,faculty,2023-12-12
