member_id,first_name,last_name,contact_email,phone_number,member_type,registration_date
1,John,Doe,johndoe@gmail.com,+11234567890,Student,2023-01-01
2,John,Doe,johndoe@gmail.com,+11234567890,Student,2023-01-01
4,Jane,Smith,janesmith@gmail.com,+12223334444,Faculty,2023-02-15
5,Alice,Johnson,alice@domain.com,+13334445555,Student,2023-03-10
6,Bob,Brown,bobbrown@domain.com,+14445556666,Faculty,2023-04-12
8,David,Evans,david@domain.com,+15556667777,Faculty,2023-06-25
9,Emma,Wilson,emmawilson@gmail.com,+16667778888,Student,2023-07-30
10,Frank,Thomas,frankthomas@gmail.com,+17778889999,Faculty,2023-08-05
11,Grace,Lee,gracelee@gmail.com,+441234567890,Student,2023-09-09
13,Isla,Harris,islaharris@gmail.com,+19990001111,Student,2023-11-11
15,Lily,Clark,lilyclark@gmail.com,+10001112222,Faculty,2023-12-12
